This is a cache of all of the repositories I own, have contributed to, or am a member of.

repository (hashed)  total commits  my commits  LOC added by me  LOC deleted by me
         \                \                \           \_____________  \
          \                \                \______________________  \  \
           \                \___________________________________   \  \  \
____________\___________________________________________________\___\__\__\_______
9bcb43ddd661815970c0c1709030150d6fd59211806cfdf409515c5e46f897f1 30 30 2482 746
dab473fd30787b46b52073d36fbe3f980dd923f3cc799df48dfe76f9e10f54f5 22 5 678 15
ccf540c499410f0e5276abf62728b17611be0dfbf9a23e46969e435920ca8144 6 6 792 12
9cc3c17e838e3a6ab30144af358612fda5949acc718447e4b5a693006918a2c2 5 5 42131 102
e07ce6fbcb4f101223844d4c01364258f5802ad1026518c9981934858865ae5b 3 3 5046 293
6a65097bf8ac7611614ee047fe219be883aac8b4674b33232f93c480e860a06d 7 7 13109 866
74e51c07c00ad780b0af1ef259626938543f5723a8afd98402ba73fa26fc0508 9 8 7712 1103
6e1457248d868bf1556e8d65783e6cf2d827489e4ca876b2bc5cdfa57332057f 11 11 5127 335
74b12da2c14c4ba359da282a2c4d30a0ac1cbbfb70e97892b2cbc2d7998d1d8d 8 8 15269 918
164ffd7105296f85793ee99050decd0fa2ee65e2a158add364409eaefc12ad07 17 17 24397 2270
eee778b7affbe07c8e5b5a7afe2be8d0ae1a3bc3b3d52e1216e35e820241d08e 7 7 2942 207
d490cde86bb029c8cce39c03386c521d65e05f147cb3095540f7f39216dd8326 6 6 19893 194
5fcfa99397df38204bb122a12fa559cb2a060b9abfc59b2770717651a7696f77 24 24 10718 5410
a5358e8f3c1b0973897a9960ae1eb664abb9575c7d39735a0bcc8d027aa7794b 11 8 23294 1770
6c37b47426c32717d371cf8a876f056898c713aae433a5cf2a11f32d0015ca76 1 1 6968 0
1c24efc70c77d36a67c2338452dd79930b5d98d8d5e5e5b9ebd3efe685d82ca6 3 3 88 0
295ecde2c99afe9f44dd12cb8fdb35d12079ec623bbf7cfd9074ec9b0e21fcab 1 1 19719 0
56afc60336d2441317d09a6dc536d3b8573de00aa211b9e24d8eee86d6e8845e 2 2 25767 601
be5b372eae2f636a10871376a9e5d0a1fffd26b1238569905f46075af4070517 2 2 10708 308
8d6bf339ea4da47ad2bbcc5a2f98c35ea1c42d11f66408980b9749a2f0ec0d28 1 1 2 0
8714174b5abfe9a74b36c6ac9253ccc7b0d9b7e3a9f3170f2a0b50be5dcff2fd 25 25 11381 380
6630651470211292df6c7f3e9445072138ba4b0bb6c748ba734047f38ef21e48 11 11 6813 135
633d244cf87d87486358d6bb1da5de31525f887587892d3dceb17bd86ab65b15 0 0 0 0
a10026a548528e700b3cab97e8d49205d1fe16b1498f6c3344260b2d383cfde0 0 0 0 0
0e57e6e3e54c498c05c536835c36bc43c2f372a471220b6ad269fc03b231a27f 23 23 16089 655
